ID,Bathrooms,Bedrooms,Size/Area,Type,price_in_millions,area,area2
295,4,4,222.0,Flat,20,North Nazimabad,North Nazimabad - Block B
296,4,4,189.0,Flat,26,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 1
297,5,5,200.0,House,45,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 13/D-2
298,3,3,240.0,Upper Portion,25,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 5
299,3,3,128.0,Flat,8,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 13/D-3
300,2,2,100.0,Flat,6,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 13/D-3
301,2,2,100.0,Flat,7,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 13/D-3
302,3,3,249.0,Flat,30,Cantt,Askari 5
303,5,5,250.0,House,30,Bahria Town Karachi,Bahria Town - Precinct 16
304,4,4,350.0,House,26,Bahria Town Karachi,Bahria Town - Precinct 35
305,6,6,240.0,House,35,Scheme 33,Saadi Town
306,4,4,400.0,Lower Portion,34,Gulistan-e-Jauhar,Gulistan-e-Jauhar - Block 14
307,3,3,156.0,Flat,14,Gulistan-e-Jauhar,Gulistan-e-Jauhar - Block 7
309,3,3,125.0,House,16,Bahria Town Karachi,Bahria Town - Ali Block
310,4,4,350.0,House,26,Bahria Town Karachi,Bahria Sports City
311,3,3,235.0,House,18,Bahria Town Karachi,Bahria Town - Precinct 27
312,3,3,362.0,Flat,67,DHA Defence,Creek Vista
314,3,3,400.0,Flat,58,Clifton,Clifton - Block 2
315,2,2,106.0,Flat,9,DHA Defence,DHA Phase 6
316,4,4,400.0,Flat,76,DHA Defence,Creek Vista
317,3,3,200.0,Lower Portion,18,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 13/D-2
318,4,4,200.0,Upper Portion,32,Gulshan-e-Iqbal Town,CP Barar Society
319,4,4,222.0,Upper Portion,36,Amir Khusro,Amir Khusro
320,3,3,250.0,Flat,19,Bahria Town Karachi,Bahria Town - Precinct 19
321,3,3,250.0,Flat,19,Bahria Town Karachi,Bahria Town - Precinct 19
322,3,3,250.0,Flat,19,Bahria Town Karachi,Bahria Town - Precinct 19
323,3,3,250.0,Flat,19,Bahria Town Karachi,Bahria Town - Precinct 19
324,4,4,328.0,Flat,24,Bahria Town Karachi,Bahria Apartments
325,5,5,377.0,House,62,Cantt,Askari 5 - Sector J
326,3,3,286.0,Flat,32,Cantt,Askari 5
327,5,5,427.0,House,69,Cantt,Askari 5 - Sector H
328,3,3,75.0,House,10,Bahria Town Karachi,Bahria Greens
329,4,4,350.0,House,24,Bahria Town Karachi,Bahria Sports City
330,5,5,500.0,House,71,Malir,Falcon Complex New Malir
331,5,5,500.0,House,50,Bahria Town Karachi,Bahria Paradise - Precinct 51
332,4,4,125.0,House,16,Bahria Town Karachi,Bahria Town - Ali Block
333,3,3,130.0,Flat,5,Federal B Area,Federal B Area - Block 8
335,3,3,200.0,House,22,Bahria Town Karachi,Bahria Town - Precinct 10-A
336,2,2,106.0,Flat,9,Bahria Town Karachi,Bahria Apartments
337,2,2,100.0,Flat,10,DHA Defence,Tauheed Commercial Area
338,5,5,87.0,Flat,130,Gulshan-e-Iqbal Town,Gulshan-e-Iqbal - Block 10-A
339,2,2,106.0,Flat,10,Bahria Town Karachi,Bahria Town - Precinct 19
340,3,3,256.0,Flat,36,Frere Town,Frere Town
341,4,4,350.0,House,28,Bahria Town Karachi,Bahria Town - Precinct 35
342,2,2,120.0,Flat,12,Bahria Town Karachi,Bahria Heights
343,5,5,500.0,House,45,Bahria Town Karachi,Bahria Paradise - Precinct 51
344,2,2,106.0,Flat,9,Bahria Town Karachi,Bahria Apartments
345,3,3,250.0,Flat,19,Bahria Town Karachi,Bahria Apartments
346,3,3,235.0,House,22,Bahria Town Karachi,Bahria Town - Precinct 27
347,3,3,235.0,House,20,Bahria Town Karachi,Bahria Town - Precinct 31
348,3,3,235.0,House,19,Bahria Town Karachi,Bahria Town - Precinct 27
349,4,4,350.0,House,25,Bahria Town Karachi,Bahria Town - Precinct 35
350,5,5,375.0,House,63,Cantt,Askari 5 - Sector J
